identifiant,adresse,code_postal,parcours,url_image,copyright_image,legende,categorie,nom_poi,date_saisie,mot_cle,ville,texte_intro,texte_description,url_site,fichier_image,geo_shape,geo_point_2d
poi14-63,74 avenue denfert-rochereau,75014,['balade14-4'],https://capgeo.maps.arcgis.com/sharing/rest/content/items/7a34d77806a44be592fa49079c2ab97c/data,,,musée-lieu culturel,Les Grands Voisins,2019-07-17,"['solidaire', 'alternatif', 'éthique', 'flanerie', 'culture', 'plein air', 'quatorzième', 'balade']",Paris,"Les Grands Voisins, c’est un projet citoyen, créatif, festif, qui s’est installé sur la friche de l’ancien hôpital Saint-Vincent de Paul, dans l’attente de sa reconversion. Depuis 2015, les Parisiens se sont approprié les lieux, les expériences solidaires, artisanales, proposées par « les voisins ». Alors que les travaux ont démarré sur la friche et avant leur départ en 2020, profitez encore un peu de l’esprit poétique, alternatif et écologique des Grands Voisins.","• Des ateliers pour créer, un espace pour se balader
Vous pourrez ainsi participer à un atelier de création de couronne de fleurs, fabriquer une chaise ou une poterie… ou simplement déambuler, d’un espace à l’autre, de la ressourcerie solidaire aux échoppes d’artisans.
• Pause apéritif à La Lingerie
Et quand l’envie de clore cette balade vous prendra, portez vos pas jusqu’à La Lingerie, pour un apéritif serein, joyeux et solidaire. Regardez autour de vous, écoutez, respirez : parfois les Parisiens eux aussi aiment prendre le temps de vivre, de se rencontrer. Et les Grands Voisins est le lieu idéal pour cela.
• Un jeu de piste solidaire pour repartir à l’aventure
PariSolidari-Thé propose depuis 2015 des jeux de pistes solidaires pour tous les publics pour (re) découvrir un quartier autrement, et faire connaître des initiatives positives du quartier. Ces parcours favorisent les interactions entre les participants et les acteurs engagés d’un Paris solidaire, social et durable. Adaptables et personnalisables, les parcours sont un moyen ludique d’apprendre à vivre Paris et son patrimoine caché à travers des valeurs humaines comme la solidarité et le partage",https://lesgrandsvoisins.org/,"{'thumbnail': True, 'filename': 'vide.png', 'width': 10, 'format': 'PNG', 'etag': '""161453236ecfa815b9f79464e7172304""', 'mimetype': 'image/png', 'id': '9901387cfa2f790817d74faf721f7fa0', 'last_synchronized': '2019-10-30T08:50:22.338577', 'color_summary': [], 'height': 10, 'url': 'https://opendata.paris.fr/api/explore/v2.1/catalog/datasets/paris-autrement-balades-dans-les-arrondissements-peripheriques-poi/files/9901387cfa2f790817d74faf721f7fa0'}","{'type': 'Feature', 'geometry': {'coordinates': [2.3349999995561683, 48.837140000055214], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3349999995561683, 'lat': 48.837140000055214}"
poi14-65,7 k boulevard jourdan,75014,['balade14-5'],https://capgeo.maps.arcgis.com/sharing/rest/content/items/7a34d77806a44be592fa49079c2ab97c/data,,,élément d'architecture,La Fondation Suisse,2019-07-17,"['balade', 'quatorzième', 'école', 'culture']",Paris,,"Lieu de pensée, lieu de vie, creuset d’échanges philosophiques et archétype architectural?: la Fondation suisse conçue par le grand architecte Le Corbusier, c’est tout cela à la fois?! Mais c’est surtout son austérité noble et radicale qui nous interpelle. Cette fondation suisse incarne totalement la «?machine à habiter?» ou le lieu de vie idéal et normé, qui constitue le cœur du travail de Le Corbusier",http://www.fondationsuisse.fr/,"{'thumbnail': True, 'filename': 'vide.png', 'width': 10, 'format': 'PNG', 'etag': '""161453236ecfa815b9f79464e7172304""', 'mimetype': 'image/png', 'id': '9901387cfa2f790817d74faf721f7fa0', 'last_synchronized': '2019-10-30T08:50:22.338577', 'color_summary': [], 'height': 10, 'url': 'https://opendata.paris.fr/api/explore/v2.1/catalog/datasets/paris-autrement-balades-dans-les-arrondissements-peripheriques-poi/files/9901387cfa2f790817d74faf721f7fa0'}","{'type': 'Feature', 'geometry': {'coordinates': [2.342010000155566, 48.81806000029983], 'type': 'Point'}, 'properties': {}}","{'lon': 2.342010000155566, 'lat': 48.81806000029983}"
poi12-9,21 rue rottembourg,75012,['balade12-1'],,,,cimetière-parc et jardin,Le square Charles Péguy,2019-08-02,"['douzième', 'nature', 'square', 'plein air']",Paris,,"Ce square créé en 1989 est situé sur une partie de l’embranchement ferroviaire qui reliait la ligne de la Petite Ceinture et la ligne de la Bastille ! C’est aujourd’hui un espace paisible de verdure parsemé de grands tilleuls au parfum enivrant, qui a obtenu en 2007 le label espaces verts écologiques décerné par ECOCERT. Vous pouvez explorer le tronçon de la Petite Ceinture, où la biodiversité s’est révélée très riche. Un sentier nature a par ailleurs été aménagé sur 200 mètres, il présente trois strates végétales : la prairie, le taillis et le boisement. Sortez du parc rue de Rottembourg puis tournez à gauche rue de la Véga. Descendez ensuite l’avenue Daumesnil à gauche.",,,"{'type': 'Feature', 'geometry': {'coordinates': [2.4066799998817836, 48.83932999907011], 'type': 'Point'}, 'properties': {}}","{'lon': 2.4066799998817836, 'lat': 48.83932999907011}"
poi12-27,28 rue françois truffaut,75012,['balade12-3'],,,,place-rue,Bercy village,2019-08-02,"['douzième', 'commerce', 'village']",Paris,,"Vous vous trouvez maintenant Cour Saint-Emilion, du nom des vins de Saint-Émilion, une des nombreuses cour des entrepôts du Petit Bercy. Vous pouvez imaginer les fûts qui transitaient pour la mise en bouteille et les négociants faisant les assemblages dans leurs chais. Dans les années 1960, les assemblages de qualité douteuse ne parvenaient plus à satisfaire les consommateurs devenus exigeants et le négoce dans les entrepôts commença à décliner. Ces pavillons alignés de part et d’autre des rails ont été reconvertis en 2001 en restaurants, terrasses et boutiques et composent aujourd’hui ce « village » très apprécié des Parisiens, en particulier des familles.",,,"{'type': 'Feature', 'geometry': {'coordinates': [2.3837800005788377, 48.83412999896557], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3837800005788377, 'lat': 48.83412999896557}"
poi12-1,9 place de la bastille,75012,"['balade12-1', 'balade12-4']",,,,élément d'architecture,La Place de la Bastille,2019-08-02,"['plein air', 'culture', 'monument', 'douzième']",Paris,"La place de la Bastille est sans aucun doute le lieu le plus symbolique de la Révolution française, et depuis, la place de tous les imaginaires.","Au XIVème siècle la place était investie d’une ancienne forteresse construite sous Charles V. Édifiée pour mettre la capitale à l’abri des attaques des Bourguignons et des Anglais, la Bastille (« petit bastion ») servit par la suite de prison d’État sous Louis XI. Prise d’assaut lors de la Révolution le 14 juillet 1789 par les ouvriers des manufactures et ateliers du faubourg Saint-Antoine, la Bastille fut détruite et on y installa du 9 au 14 juin 1794, la guillotine, donnant la mort à 75 opposants de la Révolution. 

Par la suite, la célèbre place révolutionnaire fut au centre de nombreuses projections urbaines. Parmi elles, le projet porté par Napoléon d’y construire un monument en forme d’éléphant portant un howdah (sorte de palanquin en forme de tour), pour en faire le pendant, à l'est de Paris, de l'Arc de Triomphe. Symbole de guerre, le monument devait mesurer 24 mètres de haut et être fondu avec le bronze des canons pris à l’ennemi pendant la Campagne de Russie. Le roman de Victor Hugo, Les Misérables, nous en conserve le souvenir, par l’abri qu’il fournit à Gavroche, le mythique enfant de la Révolution. 

Aujourd’hui, au centre, s’élève la Colonne de Juillet, construite en 1840 en commémoration des Trois Glorieuses, trois jours de révolution en juillet 1830 qui mirent fin au règne de Charles X et à la restauration. Elle est ornée d’une sculpture en bronze doré, Le Génie de la Liberté, prêt à s’envoler, brisant les chaînes du despotisme.

Le saviez-vous ? Une nécropole se trouve sous la colonne, accueillant les corps de révolutionnaires tombés pendant les journées de juillet. La crypte sera bientôt rendue accessible par le Centre des Monuments Nationaux qui gère le site,",,,"{'type': 'Feature', 'geometry': {'coordinates': [2.3694799997757787, 48.85272999886058], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3694799997757787, 'lat': 48.85272999886058}"
poi13-3,133 avenue de france,75013,['balade13-1'],,,,musée-lieu culturel,L'EP7,2019-08-06,"['treizième', 'culture', 'hybride', 'architecture']",Paris,,"L’EP7, c’est ce petit cube noir coincé entre deux géants, face à la BnF. Cette « Guinguette Numérique et Gourmande » aux allures futuristes est caractéristique de ce quartier en pleine mutation architecturale. Sa façade interactive (grâce à une application dédiée) composée de douze écrans fait office de galerie virtuelle en exposant des artistes, transmet les annonces et bons plans du quartier et diffuse l’ambiance de la guinguette le soir. Le rez-de-chaussée propose des activités (lectures publiques, conférences ou expositions) avant d’accueillir des DJ la nuit, le premier abrite une terrasse fermée avec un bar et le dernier étage propose de la cuisine gastronomique pour 50 couverts. Pensez à consulter l’agenda culturel de ce lieu hybride novateur.",,,"{'type': 'Feature', 'geometry': {'coordinates': [2.375767353334631, 48.83134030109035], 'type': 'Point'}, 'properties': {}}","{'lon': 2.375767353334631, 'lat': 48.83134030109035}"
poi13-20,1 rue du moulin-des-près,75013,['balade13-2'],,,,place-rue,Les rues pavillonnaires,2019-08-06,"['treizième', 'architecture', 'culture', 'plein air']",Paris,"Ces lieux sont habités, nous vous prions de respecter la tranquillité des riverains.","Prenez le temps de déambuler dans les rues pavillonnaires de la Butte aux Cailles. Épargnée par les travaux du baron Haussmann puis par la vague moderniste en raison des carrières souterraines (la butte est fragile !), elle a conservé le charme du « village ». Ses rues pavées desservent de jolies maisons fleuries, anciens ateliers et pavillons ouvriers, aujourd’hui convoités du tout Paris et des plus calmes banlieues. Parcourez la rue du Moulin des Prés parsemée de maisons en meulière, à briques et mosaïques, qui descendait en forte pente vers la vallée de la Bièvre, tant regrettée des habitants. Faites un arrêt au Square des Peupliers pour rêver un peu plus. 

Le saviez-vous ? Au croisement avec la rue Henri Pape, le Moulin des Prés, construit au XVIème et en activité jusqu’au XIXème, trônait au bord du bras vif de la rivière qui longeait la rue du même nom. 

Une fois dans la rue Henri Pape, tournez à gauche sur la rue Dieulafoy, où une quarantaine de maisons quasi-identiques se succèdent dans des tons pastels. Ces pavillons individuels aux allures de maisons bourgeoises ont vu le jour vers 1920, ils étaient destinés à des classes moyennes vivant dans ce quartier majoritairement populaire.",,,"{'type': 'Feature', 'geometry': {'coordinates': [2.3528434448562208, 48.8301713404443], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3528434448562208, 'lat': 48.8301713404443}"
poi14-24,5 rue campagne-première,75014,['balade14-2'],https://capgeo.maps.arcgis.com/sharing/rest/content/items/7a34d77806a44be592fa49079c2ab97c/data,,,élément d'architecture,Le 5 rue Campagne-Première,2019-07-17,"['architecture', 'artistes', 'balade', 'quatorzième']",Paris,"Bienvenue rue Campagne-Première, bienvenue dans LA rue du Montparnasse des Montparnos. C’est bien simple, tous les plus grands semblent avoir décidé de poser un jour leurs pinceaux ou leur plume dans l’un des ateliers de cette rue mythique. On vous emmène??","Le couple d’écrivains-poètes Louis Aragon et Elsa Triolet y vécurent dans un atelier, de 1929 à 1935",,"{'thumbnail': True, 'filename': 'vide.png', 'width': 10, 'format': 'PNG', 'etag': '""161453236ecfa815b9f79464e7172304""', 'mimetype': 'image/png', 'id': '9901387cfa2f790817d74faf721f7fa0', 'last_synchronized': '2019-10-30T08:50:22.338577', 'color_summary': [], 'height': 10, 'url': 'https://opendata.paris.fr/api/explore/v2.1/catalog/datasets/paris-autrement-balades-dans-les-arrondissements-peripheriques-poi/files/9901387cfa2f790817d74faf721f7fa0'}","{'type': 'Feature', 'geometry': {'coordinates': [2.333197463838335, 48.84015340395454], 'type': 'Point'}, 'properties': {}}","{'lon': 2.333197463838335, 'lat': 48.84015340395454}"
poi14-75,2 square de montsouris,75014,['balade14-5'],https://capgeo.maps.arcgis.com/sharing/rest/content/items/7a34d77806a44be592fa49079c2ab97c/data,,,élément d'architecture,Le 2 square de Montsouris,2019-07-17,"['square', 'plein air', 'balade', 'quatorzième', 'famille']",Paris,"Le square Montsouris, ce sont 62 maisons dont 28 (en briques rouges ou ocres) furent à l’origine construites pour des ménages à faibles revenus. Le reste étant constitué d’ateliers d’artistes et de villas bucoliques aux styles étonnants, entre Art Nouveau et Art Déco.","Cette maison, la Maison Gaut, est signée par les frères Perret - Auguste, Gustave et Claude, après avoir été initialement confiée à Le Corbusier. Des Perret, on connaît surtout Auguste?: c’est lui qui a entièrement rebâti le centre-ville du Havre, détruit pendant la seconde guerre mondiale. Cette maison du numéro 2, construite avec ses frères, constitue un bel exemple du mouvement moderne et de l’utilisation précoce du béton armé",,"{'thumbnail': True, 'filename': 'vide.png', 'width': 10, 'format': 'PNG', 'etag': '""161453236ecfa815b9f79464e7172304""', 'mimetype': 'image/png', 'id': '9901387cfa2f790817d74faf721f7fa0', 'last_synchronized': '2019-10-30T08:50:22.338577', 'color_summary': [], 'height': 10, 'url': 'https://opendata.paris.fr/api/explore/v2.1/catalog/datasets/paris-autrement-balades-dans-les-arrondissements-peripheriques-poi/files/9901387cfa2f790817d74faf721f7fa0'}","{'type': 'Feature', 'geometry': {'coordinates': [2.3355603714737443, 48.82356629616303], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3355603714737443, 'lat': 48.82356629616303}"
poi12-2,67 boulevard de la bastille,75012,['balade12-1'],,,,cimetière-parc et jardin,Le jardin du Port de l'Arsenal,2019-08-02,"['plein air', 'culture', 'douzième', 'jardin', 'nature']",Paris,,"Ce jardin en terrasses longe le port de plaisance autrefois destiné à un usage commercial. Avant de vous allonger sur les pelouses pour observer les bateaux, prenez le temps de déambuler dans ce corridor de verdure et découvrez les plantes grimpantes qui ornent les pergolas et fleurissent au printemps : la rose, le chèvrefeuille au parfum enivrant, la clématite, le kiwi ou les bignones, appelées aussi trompette de Virginie, aux belles teintes orangées. Au bout d’un chemin, la statue en bronze imaginée par Henry Arnold représente une baigneuse nue. la passerelle offre une vue imprenable sur le bassin et la Colonne de Juillet. 

Le saviez-vous ? C’est après la destruction de la Bastille par les émeutiers en 1789 que le bassin de l’Arsenal a été creusé pour remplacer le fossé qui remplissait les douves de la forteresse en eau de la Seine.",,,"{'type': 'Feature', 'geometry': {'coordinates': [2.368510000408101, 48.851129998814784], 'type': 'Point'}, 'properties': {}}","{'lon': 2.368510000408101, 'lat': 48.851129998814784}"
poi12-8,130 avenue daumesnil,75012,['balade12-1'],,,,élément d'architecture,La Mairie du 12ème,2019-08-02,"['douzième', 'architecture', 'plein air']",Paris,,"Le bâtiment a été conçu par l’architecte Antoine-Julien Hénard et construit en 1876. Vous pouvez voir, sur le pavillon central orné d’un campanile, une tête de femme sculptée représentant la Ville de Paris. Au premier étage de la façade, deux sculptures évoquent l’activité économique de l’arrondissement au temps du faubourg : l’ébénisterie et le commerce de vin. 

L’intérieur recèle encore des surprises, vous pouvez le visiter librement aux heures d’ouverture de la mairie. Le plafond de l’escalier d’honneur est décoré de la peinture d’Eugène Thirion, Les Industries du XIIe arrondissement, l’Instruction et l’Assistance publique. 
Dans le salon d’honneur, quatre panneaux ont été réalisés à l’occasion de l’Exposition coloniale de 1931 qui prit place à la Porte Dorée, que vous découvrirez en fin de balade. Ces peintures représentent des vues du port d’Alger, du Sahara, et des paysages d’Afrique et d’Océanie.",,,"{'type': 'Feature', 'geometry': {'coordinates': [2.387790000380509, 48.840789999241544], 'type': 'Point'}, 'properties': {}}","{'lon': 2.387790000380509, 'lat': 48.840789999241544}"
poi12-12,route de la ceinture du lac,75012,['balade12-2'],,,,cimetière-parc et jardin,Le Parc zoologique de Paris,2019-08-02,"['douzième', 'nature', 'zoo', 'plein air']",Paris,,"On le repère de loin, le Parc zoologique de Paris, avec son emblématique « Grand Rocher » (artificiel) ! Récemment rénové et réaménagé, il propose au visiteur une promenade à travers cinq biozones (Patagonie, Savane-Sahel, Europe, Guyane et Madagascar) où vivent 2000 animaux au total. Ses origines remontent à 1860 lorsque le directeur du Muséum d’histoire naturelle préconise l’utilité d’une annexe de la ménagerie du Jardin des plantes (Ve) pour étudier les comportements animaliers. Le zoo n’ouvre finalement qu’en 1931 à l’occasion de l’Exposition coloniale pour répondre à la curiosité du public pour les « animaux exotiques ». Ne passez pas à côté de la gigantesque serre cylindrique ! 4000 m2 de cascades, parfums, plantes et faune tropicale…Suivez la promenade Maurice Boitel qui longe le lac Daumesnil et arrêtez-vous au croisement avec la route des Îles",,,"{'type': 'Feature', 'geometry': {'coordinates': [2.4142399997394834, 48.833019997994235], 'type': 'Point'}, 'properties': {}}","{'lon': 2.4142399997394834, 'lat': 48.833019997994235}"
poi12-31,30 rue du faubourg saint-antoine,75012,['balade12-4'],,,,musée-lieu culturel,Les Ateliers de Paris,2019-08-02,"['douzième', 'culture', 'art', 'mode', 'artisanat']",Paris,,"Cette structure dédiée aux métiers d’art, au design et à la mode, est un incubateur d’entreprises. Elle accompagne de jeunes créateurs dans leur démarche, propose un espace d’exposition et organise de nombreux événements et concours ! On lui doit surtout le label « Fabriqué à Paris », que vous pouvez retrouver dans certaines vitrines au cours de cette balade, notamment dans le Viaduc des arts. Entrez pour plus d’informations ou pour visiter la galerie.",,,"{'type': 'Feature', 'geometry': {'coordinates': [2.371700236711736, 48.852467308892166], 'type': 'Point'}, 'properties': {}}","{'lon': 2.371700236711736, 'lat': 48.852467308892166}"
poi13-1,quai françois mauriac,75013,['balade13-1'],,,,musée-lieu culturel,La bibliothèque nationale de France,2019-08-06,"['treizième', 'culture', 'bibliothèque', 'architecture']",Paris,,"La Bibliothèque Nationale de France construite en 1996 sous l’impulsion de François Mitterrand et conçue par Dominique Perrault, trône en bord de Seine. Elle est le site principal de l’institution (qui en compte sept au total) recueillant 40 millions de documents imprimés issus de collections françaises constituées depuis le Moyen Age. Ces quatre tours angulaires rappelant des livres ouverts constituent la première manifestation de l’architecture minimaliste à une telle échelle. 
Adopté par les Parisiens qui ne l’appellent plus que « BnF », ce n’est pas seulement un lieu d’étude privilégié des thésards et autres érudits. Des expositions y sont régulièrement organisées, sur des thèmes allant de la science-fiction aux enluminures médiévales, un espace enfants est proposé et le parvis est un point de rencontre pour les pique-niques et sessions de danse improvisées. Penchez-vous au-dessus des entrailles du bâtiment : un jardin-forêt de pins (rapatriés de l’Eure ) occupe ces 9000 m2 en contre-bas, ainsi que des lapins, des éperviers, et sept chèvres tondeuses… Il s’agit en fait d’une version miniature de la forêt de Fontainebleau (en banlieue sud de Paris), à la différence près qu’on ne peut s’y promener. Consultez l’agenda pour visiter le jardin lors d’ouvertures exceptionnelles et vous tenir informé des événements.",,,"{'type': 'Feature', 'geometry': {'coordinates': [2.377598657723811, 48.83390042632545], 'type': 'Point'}, 'properties': {}}","{'lon': 2.377598657723811, 'lat': 48.83390042632545}"
poi13-27,9 place pinel,75013,['balade13-3'],,,,place-rue,"""Papy Dance"" de C215",2019-08-06,"['treizième', 'streetart', 'culture']",Paris,,"Cette place a été réaménagée en 2012 grâce au vote des résidents dans le cadre du budget participatif de la ville de Paris . À cette occasion, trois artistes ont été désignés pour peindre les visages choisis par les habitants. Parmi eux, Elie, 78 ans, plus connu sous le nom de ""Papy Dance"" et qui ne quitte jamais sa casquette. Pour vaincre la solitude, le retraité joue les DJ et se déhanche sans relâche presque chaque samedi devant le centre commercial Italie 2. Figure de résilience et diffuseur de bonne humeur, il fait le tour d’Internet.",,,"{'type': 'Feature', 'geometry': {'coordinates': [2.361280000488802, 48.83342999905867], 'type': 'Point'}, 'properties': {}}","{'lon': 2.361280000488802, 'lat': 48.83342999905867}"
poi14-33,3 boulevard edgar quinet,75014,['balade14-2'],https://capgeo.sig.paris.fr/PdfEtImages/Balades14e/photos/poi14-33.jpg,©Daniel Thierry,Le Cimetière du Montparnasse,cimetière-parc et jardin,Le cimetière du Montparnasse,2019-07-17,"['architecture', 'balade', 'quatorzième']",Paris,"Ils ont vécu dans le quartier, certains y reposent à jamais, d’autres ont signé des œuvres sur des sépultures amies: partons à la rencontre des Montparnos dans le cimetière du Montparnasse.","Ils y sont enterrés: Auguste Bartholdi, Paul Belmondo, Constantin Brancusi, Brassaï, César, Henri Fantin-Latour, Balthazar Lobo, Serge Gainsbourg, Willy Mucha, Jean-Paul Sartre & Simone de Beauvoir, Chaïm Soutine, Roland Topor, Zao Wou-Ki…
Des tombes remarquables:
• Niki de Saint Phalle a signé deux sculptures: «le chat de Ricardo» et «l’oiseau», tombe de Robert Thibier
• La sépulture du sculpteur César est surmontée d’un centaure créé par l’artiste
Une visite pour tout savoir?! Mais le meilleur moyen de découvrir les locataires remarquables de ce cimetière magnifique, le 2ème plus grand de Paris après le Père-Lachaise, c’est encore de réserver une visite avec Explore Paris?! Deux heures d’enquête et de découvertes vous attendent",https://www.paris.fr/equipements/cimetiere-du-montparnasse-4082,"{'thumbnail': True, 'filename': 'poi14-33.jpg', 'width': 3620, 'format': 'JPEG', 'etag': '""a0ea8d6423ed51:0""', 'mimetype': 'image/jpeg', 'id': 'b7017b77fda3ea9c54b27d3de8c6162c', 'last_synchronized': '2019-09-18T08:04:38.930662', 'color_summary': ['rgba(96, 140, 152, 1.00)', 'rgba(133, 140, 115, 1.00)', 'rgba(135, 136, 124, 1.00)'], 'height': 2409, 'url': 'https://opendata.paris.fr/api/explore/v2.1/catalog/datasets/paris-autrement-balades-dans-les-arrondissements-peripheriques-poi/files/b7017b77fda3ea9c54b27d3de8c6162c'}","{'type': 'Feature', 'geometry': {'coordinates': [2.3277130217227144, 48.84009001732932], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3277130217227144, 'lat': 48.84009001732932}"
poi14-28,23 rue campagne-première,75014,['balade14-2'],https://capgeo.maps.arcgis.com/sharing/rest/content/items/7a34d77806a44be592fa49079c2ab97c/data,,,élément d'architecture,Le 17 bis rue Campagne-Première,2019-07-17,"['architecture', 'artistes', 'balade', 'quatorzième']",Paris,"Bienvenue rue Campagne-Première, bienvenue dans LA rue du Montparnasse des Montparnos. C’est bien simple, tous les plus grands semblent avoir décidé de poser un jour leurs pinceaux ou leur plume dans l’un des ateliers de cette rue mythique. On vous emmène??","A partir de 1917, le peintre Léonard Foujita y installe son atelier",,"{'thumbnail': True, 'filename': 'vide.png', 'width': 10, 'format': 'PNG', 'etag': '""161453236ecfa815b9f79464e7172304""', 'mimetype': 'image/png', 'id': '9901387cfa2f790817d74faf721f7fa0', 'last_synchronized': '2019-10-30T08:50:22.338577', 'color_summary': [], 'height': 10, 'url': 'https://opendata.paris.fr/api/explore/v2.1/catalog/datasets/paris-autrement-balades-dans-les-arrondissements-peripheriques-poi/files/9901387cfa2f790817d74faf721f7fa0'}","{'type': 'Feature', 'geometry': {'coordinates': [2.332153022025908, 48.83933001713272], 'type': 'Point'}, 'properties': {}}","{'lon': 2.332153022025908, 'lat': 48.83933001713272}"
poi14-50,32 rue didot,75014,['balade14-3'],https://capgeo.sig.paris.fr/PdfEtImages/Balades14e/photos/poi14-50.jpg,©Marc Bertrand,La Rue des Thermopyles,place-rue,La rue des Thermopyles,2019-07-17,"['artistes', 'village', 'flanerie', 'quatorzième', 'balade']",Paris,,"C’est l’une des ruelles les plus célèbres de Paris. La rue des Thermopyles avec ses anciennes maisons ouvrières aux portes colorées, ses chats indolents qui dorment sur les pavés, ses glycines et l’absence de voiture, c’est l’incarnation la plus parfaite du village parisien rêvé",,"{'thumbnail': True, 'filename': 'poi14-50.jpg', 'width': 3620, 'format': 'JPEG', 'etag': '""81fe1e1423ed51:0""', 'mimetype': 'image/jpeg', 'id': 'cbb14b7e2c4932dbc61d1066dcbb077d', 'last_synchronized': '2019-09-18T08:05:11.593781', 'color_summary': ['rgba(153, 155, 129, 1.00)', 'rgba(133, 136, 104, 1.00)', 'rgba(129, 134, 106, 1.00)'], 'height': 2413, 'url': 'https://opendata.paris.fr/api/explore/v2.1/catalog/datasets/paris-autrement-balades-dans-les-arrondissements-peripheriques-poi/files/cbb14b7e2c4932dbc61d1066dcbb077d'}","{'type': 'Feature', 'geometry': {'coordinates': [2.320160000589759, 48.831940000042714], 'type': 'Point'}, 'properties': {}}","{'lon': 2.320160000589759, 'lat': 48.831940000042714}"
poi14-79,14 rue nansouty,75014,['balade14-5'],https://capgeo.maps.arcgis.com/sharing/rest/content/items/7a34d77806a44be592fa49079c2ab97c/data,,,élément d'architecture,La Villa Guggenbühl,2019-07-17,"['architecture', 'culture', 'plein air', 'balade', 'quatorzième']",Paris,"Le square Montsouris, ce sont 62 maisons dont 28 (en briques rouges ou ocres) furent à l’origine construites pour des ménages à faibles revenus. Le reste étant constitué d’ateliers d’artistes et de villas bucoliques aux styles étonnants, entre Art Nouveau et Art Déco.","Juste à côté du square Montsouris, en route vers le parc, marquez une pause devant la spectaculaire villa Guggenbühl. Bâtie en 1927 par André Lurçat, le prolifique architecte / promoteur de la villa Seurat, cette maison a été construite pour le peintre zurichois Walter Guggenbühl. Elle est inscrite à l’Inventaire supplémentaire des monuments historiques",,"{'thumbnail': True, 'filename': 'vide.png', 'width': 10, 'format': 'PNG', 'etag': '""161453236ecfa815b9f79464e7172304""', 'mimetype': 'image/png', 'id': '9901387cfa2f790817d74faf721f7fa0', 'last_synchronized': '2019-10-30T08:50:22.338577', 'color_summary': [], 'height': 10, 'url': 'https://opendata.paris.fr/api/explore/v2.1/catalog/datasets/paris-autrement-balades-dans-les-arrondissements-peripheriques-poi/files/9901387cfa2f790817d74faf721f7fa0'}","{'type': 'Feature', 'geometry': {'coordinates': [2.335520933882748, 48.82330682280716], 'type': 'Point'}, 'properties': {}}","{'lon': 2.335520933882748, 'lat': 48.82330682280716}"
poi12-16,45 avenue de la belle gabrielle,75012,['balade12-2'],,,,cimetière-parc et jardin,Le Jardin d’agronomie tropicale,2019-08-02,"['douzième', 'plein air', 'jardin', 'nature', 'famille']",Paris,,"Vous vous trouvez à présent dans le jardin d’essai utilisé dès 1899 pour des expérimentations agronomiques sur les plantes des colonies françaises, afin d’en accroître les productions. Caféiers, bananiers et vanilliers ont tous presque disparu mais quelques pavillons érigés à l’occasion de l’exposition coloniale de 1907 subsistent. Deux millions de personnes sont venues voir ces édifices ainsi que les reconstitutions de villages congolais et campements touaregS, qui accueillaient aussi de « faux » habitants recrutés dans les colonies. Cet événement, plus tard décrié, est qualifié de zoo humain. Promenez-vous dans ce lieu chargé d’histoire parmi les vestiges aujourd’hui envahis par la végétation. 

Nichée au cœur de ce mystérieux jardin, la micro-ferme maraîchère V’Île fertile (reconnaissable par sa maison en meulière !) produit des légumes frais. Les ventes ont lieu le premier dimanche de chaque mois de 15h à 17h. Des visites guidées sont organisées autour de l’agriculture urbaine écologique ainsi que des activités créatives, de maraîchage et de bricolage pour apprendre à construire un bac à compost ou les techniques de bouturage.",,,"{'type': 'Feature', 'geometry': {'coordinates': [2.46675999948509, 48.83310999870111], 'type': 'Point'}, 'properties': {}}","{'lon': 2.46675999948509, 'lat': 48.83310999870111}"
